Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
53 - Bretagne	29 - Finistère	1 - Brest	212900195 - Brest	242900314	Brest Métropole	METRO	0	0	1973-05-24	1973-05-24	ACCOR	art L 5217-1 du CGCT	8	216077	60	FPU	M.	François	CUILLANDRE	
53 - Bretagne	29 - Finistère	4 - Quimper	212902324 - Quimper	200068120	CA Quimper Bretagne Occidentale	CA	0	0	2016-11-17	2017-01-01	ACCOR		14	104761	45	FPU	Mme	Isabelle	ASSIH	
53 - Bretagne	29 - Finistère	4 - Quimper	212902332 - Quimperlé	242900694	CA Quimperlé Communauté	CA	0	0	1993-12-28	1993-12-28	ACCOR		16	58104	47	FPU	M.	Sébastien	MIOSSEC	
53 - Bretagne	29 - Finistère	4 - Quimper	212900393 - Concarneau	242900769	CA Concarneau Cornouaille Agglomération	CA	0	0	1994-06-30	2012-01-01	ACCOR		9	53545	41	FPU	M.	Olivier	BELLEC	
53 - Bretagne	29 - Finistère	1 - Brest	212901037 - Landerneau	242900801	CA du Pays de Landerneau-Daoulas	CA	0	0	1994-12-26	2009-01-01	ACCOR		22	50997	42	FPU	M.	Patrick	LECLERC	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901516 - Morlaix	242900835	CA Morlaix Communauté	CA	0	0	1999-12-30	1999-12-30	ACCOR		26	66881	43	FPU	M.	Jean-Paul	VERMOT	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900427 - Crozon	200066868	CC Presqu'île de Crozon-Aulne maritime	CC	0	0	2017-01-01	2017-01-01	ACCOR		10	23109	32	FPU	M.	Mickaël	KERNEIS	
53 - Bretagne	29 - Finistère	3 - Morlaix	212902597 - Saint-Pol-de-Léon	200067072	CC Haut-Léon Communauté	CC	0	0	2016-10-26	2017-01-01	ACCOR		14	32478	31	FPU	M.	Jacques	EDERN	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212901417 - Loqueffret	200067197	CC Monts d'Arrée Communauté	CC	0	0	2016-10-26	2017-01-01	ACCOR		12	7953	21	FPU	M.	Jean François	DUMONTEIL	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900260 - Châteaulin	200067247	CC Pleyben-Châteaulin-Porzay	CC	0	0	2016-10-28	2017-01-01	ACCOR		17	23783	31	FPU	Mme	Gaëlle	NICOLAS	
53 - Bretagne	29 - Finistère	1 - Brest	212901193 - Lanrivoaré	242900074	CC du Pays d'Iroise	CC	0	0	1992-12-08	2008-10-30	ACCOR		19	50568	37	FPU	M.	André	TALARMIN	
53 - Bretagne	29 - Finistère	1 - Brest	212901607 - Plabennec	242900553	CC du Pays des Abers	CC	0	0	1993-12-17	2009-06-29	ACCOR		13	42710	29	FPU	M.	Jean-François	TREGUER	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900278 - Châteauneuf-du-Faou	242900561	CC de Haute Cornouaille	CC	0	0	1993-12-17	1993-12-17	ACCOR		11	15206	28	FPU	M.	Bernard	SALIOU	
53 - Bretagne	29 - Finistère	4 - Quimper	212902183 - Pont-Croix	242900629	CC Cap Sizun - Pointe du Raz	CC	0	0	1993-12-17	2008-10-08	ACCOR		10	15568	26	FPU	M.	Gilles	SERGENT	
53 - Bretagne	29 - Finistère	4 - Quimper	212900468 - Douarnenez	242900645	CC Douarnenez Communauté	CC	0	0	1993-12-27	2012-01-27	RDC	pas d'accord local possible	5	18921	29	FPU	Mme	Jocelyne	POITEVIN	
53 - Bretagne	29 - Finistère	4 - Quimper	212900583 - Fouesnant	242900660	CC du Pays Fouesnantais	CC	0	0	1993-12-28	2011-11-04	ACCOR		7	30028	37	FPU	M.	Roger	LE GOFF	
53 - Bretagne	29 - Finistère	4 - Quimper	212902209 - Pont-l'Abbé	242900702	CC du Pays Bigouden Sud	CC	0	0	1993-12-28	2009-04-06	ACCOR		12	38990	25	FPU	M.	Stéphane	LE DOARE	
53 - Bretagne	29 - Finistère	4 - Quimper	212902258 - Pouldreuzic	242900710	CC du Haut Pays Bigouden	CC	0	0	1993-12-28	1993-12-28	ACCOR		10	18979	25	FPU	Mme	Josiane	KERLOCH	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900245 - Carhaix-Plouguer	242900744	CC Poher Communauté	CC	0	1	1993-12-31	2009-12-18	ACCOR		11	16075	29	FPU	M.	Christian	TROADEC	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901052 - Landivisiau	242900751	CC du Pays de Landivisiau	CC	0	0	1993-12-31	2010-07-22	ACCOR		19	34339	28	FPU	M.	Henri	BILLON	
53 - Bretagne	29 - Finistère	1 - Brest	212901243 - Lesneven	242900793	CC Communauté Lesneven Côte des Légendes	CC	0	0	1994-12-26	1994-12-26	ACCOR		14	28251	34	FPU	Mme	Claudie	BALCON	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901854 - Plouescat	200005346	SIVU pour la construction d'un centre de secours et d'incendie à Plouescat	SIVU	0	0	2006-08-03	2006-08-03	POPUL		8	14380	1	CBUDG	M.	Eric	LE BOUR	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901631 - Pleyber-Christ	242900496	SIVU de Saint-Thégonnec	SIVU	0	0	1986-04-09	1986-04-09	AUTR	Fixé par les statuts	6	12079	1	CBUDG	M.	Michel	FER	
53 - Bretagne	29 - Finistère	4 - Quimper	212902415 - Rosporden	252900014	SI voirie de la région de Rosporden	SIVU	0	0	1948-04-07	1948-04-07	MEMNB		5	20278	1	CBUDG	M.	Guy	PAGNARD	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212901029 - Landeleau	252900113	SI eaux du Poher	SIVU	0	0	1961-09-22	2008-12-23	MEMNB		4	4675	1	CBUDG	M.	Yvon	COQUIL	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901847 - Plouénan	252900121	SI eaux et assainissement de Plouénan	SIVU	0	0	1957-07-15	2011-12-01	MEMNB		4	7869	2	CBUDG	M.	Bruno	ARIAGA	
53 - Bretagne	29 - Finistère	3 - Morlaix	212900385 - Commana	252900154	SI d'eau et d'assainissement de Commana (SIEAC)	SIVU	0	0	1956-07-12	1956-07-12	MEMNB		2	2040	2	CBUDG	M.	Philippe	GUEGUEN	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901318 - Locmélar	252900170	SI eaux de Locmélar Saint-Sauveur	SIVU	0	0	1958-11-21	1958-11-21	MEMNB		2	1306	1	CBUDG	M.	Bruno	CADIOU	
53 - Bretagne	29 - Finistère	3 - Morlaix	212902134 - Plouzévédé	252900196	SI eaux de Plouzévédé	SIVU	0	0	1957-01-24	2011-12-01	MEMNB		4	3698	2	CBUDG	M.	Laurent	GUEGUEN	
53 - Bretagne	29 - Finistère	4 - Quimper	212902183 - Pont-Croix	252900238	SI des eaux du Goyen	SIVU	0	0	1956-07-13	2009-08-19	MEMNB		5	11251	1	CBUDG	M.	Yves	KERISIT	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900534 - Le Faou	252900436	SI d'abattage de la région du Faou	SIVU	0	0	1956-12-07	2011-02-10	MEMNB		6	12022	1	CBUDG	M.	Mickael	KERNEIS	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212901417 - Loqueffret	252900550	SI eaux de Kerbalaen	SIVU	0	0	1975-12-02	2009-07-08	MEMNB		2	663	1	CBUDG	M.	Louis Marie	LE GUILLOU	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212901755 - Plonévez-du-Faou	252900667	SI d'éclairage et de communications électroniques	SIVU	1	0	1934-02-01	2008-09-18	MEMNB		21	25505	5	CBUDG	M.	Denis	SALAUN	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901136 - Lanmeur	252900808	Syndicat intercommunal de voirie de Lanmeur	SIVU	0	0	1948-03-02	1948-03-02	MEMNB		9	10564	1	CBUDG	M.	Joseph	IRRIEN	
53 - Bretagne	29 - Finistère	4 - Quimper	212902746 - Scaër	252901152	SI soins aux malades de la région de Scaër	SIVU	0	0	1966-05-25	1966-05-25	MEMNB		4	14922	1	CBUDG	M.	Jean-Yves	LE GOFF	
53 - Bretagne	29 - Finistère	3 - Morlaix	212902068 - Plounévez-Lochrist	252901202	SI de la baie de Goulven	SIVU	0	0	1969-06-21	1969-06-21	MEMNB		2	3356	1	CBUDG	M.	Roger	BOSSARD	
53 - Bretagne	29 - Finistère	3 - Morlaix	212902761 - Sibiril	252901525	SI eaux et assainissement de Cléder - Sibiril	SIVU	0	0	1960-08-13	1960-08-13	MEMNB		2	4904	2	CBUDG	M.	Jacques	EDERN	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900245 - Carhaix-Plouguer	252901830	SI action sociale et culturelle	SIVU	0	1	1985-05-30	1985-05-30	AUTR	Défini par les statuts	15	19465	3	CBUDG	Mme	Hélène	GUILLEMOT	
