Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000046 - Ajaccio	242010056	CA du Pays Ajaccien	CA	0	0	2001-12-15	2001-12-31	RDC		10	92333	38	FPU	M.	Stéphane	SBRAGGIA	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212001309 - Grosseto-Prugna	200038958	CC de la Pieve de l'Ornano et du Taravo	CC	0	0	2014-01-01	2014-01-01	RDC		28	13358	25	AAZAE	Mme	Valérie	BOZZI	
94 - Corse	2A - Corse-du-Sud	4 - Sartène	212002471 - Porto-Vecchio	200040764	CC du Sud Corse	CC	0	0	2014-01-01	2014-01-01	RDC		7	21467	20	FPU	M.	Jean-Christophe	ANGELINI	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212003487 - Vico	200067049	CC Spelunca-Liamone	CC	0	0	2016-10-25	2017-01-01	RDC		33	7846	16	AAZAE	M.	François	COLONNA	
94 - Corse	2A - Corse-du-Sud	4 - Sartène	212001424 - Levie	242000495	CC de l'Alta Rocca	CC	0	0	2000-12-18	2013-01-01	RDC		18	8740	21	FPU	M.	Pierre	MARCELLESI	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000327 - Bastelicaccia	242000503	CC Celavu-Prunelli	CC	0	0	1993-09-01	1993-09-01	RDC		10	9360	20	FPU	M.	Dominique	LIVRELLI	
94 - Corse	2A - Corse-du-Sud	4 - Sartène	212002497 - Propriano	242010130	CC du Sartenais Valinco Taravo	CC	0	0	2005-11-17	2005-11-17	RDC		18	12203	19	FPU	M.	José Pierre	MOZZICONACCI	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000855 - Cauro	242000057	SI de la Pieve de Sampiero	SIVU	0	0	1974-01-08	1974-01-08	MEMNB		3	3429	1	CBUDG	M.	Pascal	LECCIA	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000087 - Albitreccia	242000396	SIVOM de la Rive Sud du Golfe d'Ajaccio	SIVU	0	0	1982-05-24	2013-01-01	MEMNB		4	7926	1	CBUDG	M.	Alexandre	LIVRELLI	
94 - Corse	2A - Corse-du-Sud	4 - Sartène	212002786 - Serra-di-Scopamène	242010114	SIVOM de rénovation rurale en montagne Coscione Alta Rocca	SIVU	0	0	1972-04-20	1972-04-20	MEMNB		7	16363	1	CBUDG	M.	Jean Paul	ROCCA SERRA	
94 - Corse	2A - Corse-du-Sud	4 - Sartène	212001424 - Levie	252000229	SI des eaux de Levie et San-Gavino-di-Carbini	SIVU	0	0	2000-07-31	2000-07-31	MEMNB		2	1833	1	CBUDG	M.	Jean	MAESTRATI	
94 - Corse	2A - Corse-du-Sud	4 - Sartène	212002471 - Porto-Vecchio	252000419	SI du schéma hydraulique du Sud-Est	SIVU	0	0	1972-07-05	1972-07-05	MEMNB		12	28217	1	CBUDG	M.	Georges	MELA	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000855 - Cauro	252010046	SI d'étude et de programmation de la vallée du Prunelli	SIVU	0	0	2002-05-23	2002-05-23	MEMNB		6	8566	1	CBUDG	M.	Jacques	BIANCHETTI	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212002711 - Sarrola-Carcopino	242000024	SIVOM di Mizana	SIVOM	0	0	1969-04-17	1969-04-17	MEMNB		4	7887	3	CBUDG	M.	Jean-Nicolas	ANTONIOTTI	
94 - Corse	2A - Corse-du-Sud	4 - Sartène	212001143 - Figari	242000032	SIVOM des Plaines du Sud	SIVOM	0	0	1966-01-24	1966-01-24	MEMNB		3	4291	5	CBUDG	M.	Jean-Marc	SERRA	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212003594 - Zicavo	242000156	SIVOM du Haut Taravo	SIVOM	0	0	1975-10-02	1975-10-02	MEMNB		9	1221	10	CBUDG	M.	Laurent	PERALDI	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212002703 - Sari-d'Orcino	242000172	SIVOM de la vallée de la Cinarca et du Liamone	SIVOM	0	0	1962-04-11	1962-04-11	MEMNB		7	1686	7	CFISC	M.	Michel	PINELLI	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212000905 - Coggia	242000453	SIVOM de Vico Coggia	SIVOM	0	0	1990-01-04	1990-01-04	MEMNB		2	1761	3	CBUDG	M.	François	COLONNA	
94 - Corse	2A - Corse-du-Sud	1 - Ajaccio	212001309 - Grosseto-Prugna	242000461	SIVOM de l'école de Porticcio	SIVOM	0	0	1993-01-15	1993-01-15	MEMNB		4	7926	5	CBUDG	Mme	Valérie	BOZZI	
94 - Corse	2A - Corse-du-Sud	4 - Sartène	212002547 - Quenza	242010031	SIVOM pour l'équipement et la gestion du hameau de Bavella	SIVOM	0	0	1980-08-12	1980-08-12	MEMNB		3	4156	4	CBUDG	M.	Patrice	MOSCONI	
