Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
94 - Corse	2B - Haute-Corse	2 - Bastia	212000335 - Bastia	242000354	CA de Bastia	CA	0	0	1966-01-06	2001-12-24	RDC		5	63871	34	FPU	M.	Louis	POZZO DI BORGO	
94 - Corse	2B - Haute-Corse	3 - Corte	212000095 - Aléria	200015162	CC de l'Oriente	CC	0	0	2008-04-16	2008-04-16	RDC		22	6132	18	ASZSE	M.	Jean Claude	FRANCESCHI	
94 - Corse	2B - Haute-Corse	3 - Corte	212001234 - Ghisonaccia	200033827	CC de Fium'Orbu Castellu	CC	0	0	2012-10-11	2013-01-01	RDC		13	13396	15	ASZSE	M.	Francis	GIUDICI	
94 - Corse	2B - Haute-Corse	3 - Corte	212003131 - San-Nicolao	200034205	CC de la Costa Verde	CC	0	0	2012-10-26	2013-01-01	RDC		23	10943	26	ASZSE	M.	Marc-Antoine	NICOLAÏ	
94 - Corse	2B - Haute-Corse	2 - Bastia	212001481 - Lucciana	200036499	CC de Marana-Golo	CC	0	0	2012-12-31	2013-01-01	RDC		10	25193	18	ASZSE	M.	Jean	DOMINICI	
94 - Corse	2B - Haute-Corse	2 - Bastia	212000434 - Brando	200042943	CC du Cap Corse	CC	0	0	2014-01-01	2014-01-01	RDC		18	6720	21	ASZSE	M.	Patrick	SANGUINETTI	
94 - Corse	2B - Haute-Corse	5 - Calvi	212001341 - L'Île-Rousse	200073104	CC de l'Ile-Rousse - Balagne	CC	0	0	2016-12-23	2017-01-01	RDC		22	11078	31	FPU	M.	Lionel	MORTINI	
94 - Corse	2B - Haute-Corse	5 - Calvi	212001853 - Oletta	200073120	CC Nebbiu - Conca d'Oro	CC	0	0	2016-12-20	2017-01-01	RDC		15	7774	19	ASZSE	M.	Claudy	OLMETA	
94 - Corse	2B - Haute-Corse	3 - Corte	212001937 - Omessa	200073138	CC Pasquale Paoli	CC	0	0	2016-12-20	2017-01-01	RDC		42	6173	31	ASZSE	M.	François	SARGENTINI	
94 - Corse	2B - Haute-Corse	3 - Corte	212003461 - Vescovato	200073252	CC de la Castagniccia-Casinca	CC	0	0	2016-12-27	2017-01-01	RDC		42	13013	29	ASZSE	M.	Antoine	POLI	
