Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe Ville annexe	Téléphone annexe	Fax annexe	C1004	C1010	C1015	C1020	C1025	C1030	C1502	C1505	C1507	C1510	C1515	C1520	C1525	C1528	C1529	C1530	C1531	C1532	C1533	C1534	C1535	C1540	C1545	C1550	C1555	C1560	C2005	C2010	C2015	C2510	C2515	C2520	C2521	C2525	C2526	C3005	C3010	C3015	C3020	C3025	C3210	C3220	C3505	C3510	C3515	C4005	C4006	C4007	C4008	C4010	C4015	C4016	C4017	C4020	C4025	C4505	C4510	C4515	C4520	C4525	C4530	C4531	C4532	C4535	C4540	C4545	C4550	C4555	C4560	C5005	C5010	C5015	C5210	C5220	C5505	C5510	C5515	C5520	C5525	C5530	C5535	C5540	C5545	C5550	C5555	C7005	C7010	C7012	C7015	C7020	C7025	C7030	C9905	C9910	C9915	C9920	C9922	C9923	C9924	C9925	C9930	C9935	C9940	C9950	C9999	
76 - Occitanie	30 - Gard	2 - Nîmes	213000284 - Bagnols-sur-Cèze	200034692	CA du Gard Rhodanien	CA	0	0	2012-07-16	2013-01-01	RDC		44	77061	38	FPU	0	0	0	 	0	 	M.	Jean-Christian	REY		1717 Route d'Avignon		30200 BAGNOLS-SUR-CEZE	    	    						 	    	    	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	
76 - Occitanie	30 - Gard	1 - Alès	213000078 - Alès	200066918	CA Alès Agglomération	CA	0	0	2017-01-01	2017-01-01	RDC	CA issue de la fusion de la CA Alès Agglomération, CC Pays Grand'Combien, CC Vivre en Cévennes, CC des Hautes Cévennes	72	136510	57	FPU	0	0	0		0		M.	Christophe	RIVENQ	Bâtiment Atome	2 Rue Michelet		30100 ALES	04 66 78 89 00	04 66 56 58 49						 	    	04 66 56 58 49	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	
76 - Occitanie	30 - Gard	2 - Nîmes	213001894 - Nîmes	243000643	CA de Nîmes Métropole	CA	0	0	2001-12-28	2002-01-01	RDC		39	262935	34	FPU	0	1	0	 	0	 	M.	Franck	PROUST		3 Rue du Colisée		30947 NIMES cedex 9	04 66 02 55 01	04 66 02 55 10		www.nimes-metropole.fr				 	    	04 66 02 55 10	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
76 - Occitanie	30 - Gard	2 - Nîmes	213003346 - Uzès	200034379	CC Pays d'Uzès	CC	0	0	2012-07-16	2013-01-01	RDC		35	31714	26	FPU	1	0	0	 	0	 	M.	Fabrice	VERDIER		9 Avenue du 8 Mai 1945		30700 UZES	    	    		www.ccpaysduzes.fr				 	    	    	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	
76 - Occitanie	30 - Gard	3 - Le Vigan	213002108 - Quissac	200034411	CC du Piémont Cévenol	CC	0	0	2012-07-16	2013-01-01	RDC		34	22715	31	FPU	0	0	0	 	0	 	M.	Fabien	CRUVEILLER		13 Bis Rue du Docteur Rocheblave		30260 QUISSAC	04 66 93 06 12	04 66 80 59 23						 	    	04 66 80 59 23	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
76 - Occitanie	30 - Gard	3 - Le Vigan	200082725 - Val-d'Aigoual	200034601	CC Causses Aigoual Cévennes	CC	0	0	2012-07-16	2013-01-01	RDC		15	5466	23	ASZSE	0	0	0		0		M.	Gilles	BERTHEZENE	Mairie de Valleraugue			30570 VALLERAUGUE	    	    						 	    	    	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	
76 - Occitanie	30 - Gard	1 - Alès	213002272 - Saint-Ambroix	200035129	CC de Cèze Cévennes	CC	0	1	2012-08-03	2013-01-01	RDC		23	19466	30	FPU	0	0	0	 	0	 	M.	Olivier	MARTIN		Route d'Uzès		30500 SAINT-AMBROIX	    	    						 	    	    	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	
76 - Occitanie	30 - Gard	3 - Le Vigan	213003502 - Le Vigan	243000270	CC du Pays Viganais	CC	0	0	1992-12-30	1993-01-01	RDC		21	10169	32	FPU	1	0	0		0		M.	Régis	BAYLE	Maison de l'Intercommunalité	3 Avenue Sergent Triaire	BP 51067	30123 LE VIGAN CEDEX	04 67 81 66 00	04 66 81 09 02						 	    	04 66 81 09 02	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	1	
76 - Occitanie	30 - Gard	2 - Nîmes	213003213 - Sommières	243000296	CC du Pays de Sommières	CC	0	0	1992-12-30	1993-01-01	RDC		18	24803	28	FPU	0	0	0	 	0	 	M.	Pierre	MARTINEZ	Parc d'Activité de l'Arnède			30252 SOMMMIERES cedex	04 66 77 70 39	04 66 77 71 75	ccpaysdesommieres@wanadoo.fr					 	    	04 66 77 71 75	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	
76 - Occitanie	30 - Gard	2 - Nîmes	213001233 - Gallargues-le-Montueux	243000569	CC Rhony, Vistre, Vidourle	CC	0	0	2000-12-26	2000-12-31	ACCOR	Une élection municipale partielle a entraîne la recomposition du conseil communautaire de la CC dont la répartition des sièges avait été établie avant le 20 juin 2014 (Salbry)	10	28808	19	FPU	0	1	0	 	0	 	M.	Philippe	GRAS		2 Avenue de la Fontanisse		30660 GALLARGUES LE MONTUEUX	04 66 35 55 55	04 66 35 42 19	contact@ccrvv.com	www.cc-rhony-vistre-vidourle.fr	2, avenue de la Fontanisse			30660 GALLARGUES LE MONTUEUX	04 66 35 55 55	04 66 35 42 19	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
